<text id="rocha1910">
<s>
MARIA	NOM	maria
DUSÁ	V	<unknown>
Abria-se	NOM	<unknown>
para	PRP	para
o	DET	o
nascente	NOM	nascente
o	DET	o
velho	ADJ	velho
casarão	NOM	casarão
da	PRP+DET	de
Lagoa	NOM	lagoa
Seca	NOM	seca
.	SENT	.
</s>
<s>
As	DET	a
dimensões	NOM	dimensão
da	PRP+DET	de
morada	NOM	morada
,	VIRG	,
e	CONJ	e
,	VIRG	,
mais	ADV	mais
que	PR	que
isso	P	isso
,	VIRG	,
o	DET	o
amplo	ADJ	amplo
avarandado	NOM	avarandado
de	PRP	de
peitoril	NOM	peitoril
,	VIRG	,
guarnecido	V	guarnecer
por	PRP	por
centenas	NOM	centena
de	PRP	de
tabiques	NOM	tabique
,	VIRG	,
graciosamente	ADV	graciosamente
recortados	ADJ	recortado
,	VIRG	,
vistos	V	ver
de	PRP	de
longe	ADV	longe
,	VIRG	,
sugeriam	V	sugerir
a	DET	a
presunção	NOM	presunção
de	PRP	de
ser	V	ser
ali	ADV	ali
o	DET	o
pouso	NOM	poiso
da	PRP+DET	de
abastança	NOM	abastança
e	CONJ	e
do	PRP+DET	de
conforto	NOM	conforto
.	SENT	.
</s>
<s>
No	PRP+DET	em
entanto	ADV	entanto
,	VIRG	,
ao	PRP+DET	a
aproximar-se	V+P	aproximar
um	DET	um
pouco	ADV	pouco
,	VIRG	,
o	DET	o
viajante	NOM	viajante
arguto	ADJ	arguto
,	VIRG	,
lido	V	ler
ou	CONJ	ou
corrido	V	correr
,	VIRG	,
mal	ADV	mal
continha	V	conter
uma	DET	uma
interjetiva	ADJ	interjetivo
de	PRP	de
desilusão	NOM	desilusão
,	VIRG	,
porque	CONJ	porque
,	VIRG	,
em	PRP	em
realidade	NOM	realidade
,	VIRG	,
os	P	o
listrões	V	<unknown>
vermelhos	ADJ	vermelho
de	PRP	de
goteiras	NOM	goteira
que	PR	que
lavaram	V	lavar
o	DET	o
caiamento	NOM	<unknown>
,	VIRG	,
corroendo	V	corroer
o	DET	o
adobe	NOM	adobe
de	PRP	de
argila	NOM	argila
ferruginosa	ADJ	ferruginoso
,	VIRG	,
as	DET	a
paredes	NOM	parede
rachadas	ADJ	rachado
,	VIRG	,
desaprumadas	V	desaprumar
e	CONJ	e
carcomidas	V	carcomer
,	VIRG	,
na	PRP+DET	em
altura	NOM	altura
dos	PRP+DET	de
alicerces	NOM	alicerce
,	VIRG	,
indicavam	V	indicar
uma	DET	uma
casa	NOM	casa
abandonada	V	abandonar
.	SENT	.
</s>
<s>
Acrescente-se	V+P	acrescentar
a	DET	a
vista	NOM	vista
de	PRP	de
estacas	NOM	estaca
isoladas	ADJ	isolado
,	VIRG	,
moirões	NOM	moirão
de	PRP	de
porteiras	NOM	porteiro
inclinados	ADJ	inclinado
e	CONJ	e
apodrecidos	ADJ	apodrecido
,	VIRG	,
e	CONJ	e
ter-se-á	V+P	ter
a	DET	a
classificação	NOM	classificação
de	PRP	de
tapera	NOM	tapera
que	PR	que
os	DET	o
sertanejos	NOM	sertanejo
dão	V	dar
a	DET	a
moradas	NOM	morada
que	PR	que
foram	V	ir
de	PRP	de
gente	NOM	gente
opulenta	ADJ	opulento
.	SENT	.
</s>
<s>
De	PRP	de
fato	NOM	fato
,	VIRG	,
os	DET	o
raros	ADJ	raro
vizinhos	NOM	vizinho
de	PRP	de
légua	NOM	légua
e	CONJ	e
mais	ADV	mais
,	VIRG	,
denominavam	V	denominar
essa	DET	essa
antiga	ADJ	antigo
fazenda	NOM	fazenda
Tapera	NOM	tapera
da	PRP+DET	de
Lagoa	NOM	lagoa
,	VIRG	,
ou	CONJ	ou
simplesmente	ADV	simplesmente
:	SENT	:
-	QUOTE	-
Tapera	NOM	tapera
.	SENT	.
</s>
<s>
Mas	CONJ	mas
assim	ADV	assim
o	P	o
faziam	V	fazer
somente	ADV	somente
em	PRP	em
ausência	NOM	ausência
dos	PRP+DET	de
donos	NOM	dono
que	PR	que
ainda	ADV	ainda
a	P	a
habitavam	V	habitar
,	VIRG	,
posto	V	pôr
que	CONJSUB	que
em	PRP	em
estado	NOM	estado
de	PRP	de
extrema	ADJ	extremo
pobreza	NOM	pobreza
e	CONJ	e
miséria	NOM	miséria
orgânica	ADJ	orgânico
.	SENT	.
</s>
<s>
Ao	PRP+DET	a
encontrar-se	V+P	encontrar
com	PRP	com
o	DET	o
velho	ADJ	velho
Raimundo	NOM	Raimundo
Alves	NOM	alves
,	VIRG	,
ou	CONJ	ou
com	PRP	com
a	DET	a
qüinquagenária	NOM	<unknown>
Maria	NOM	Maria
Rosa	NOM	Rosa
,	VIRG	,
sua	ADJ	sua
mulher	NOM	mulher
,	VIRG	,
os	DET	o
vizinhos	NOM	vizinho
,	VIRG	,
conhecidos	V	conhecer
velhos	ADJ	velho
,	VIRG	,
talvez	ADV	talvez
por	PRP	por
um	DET	um
impulso	NOM	impulso
de	PRP	de
compaixão	NOM	compaixão
para	PRP	para
com	PRP	com
os	DET	o
herdeiros	NOM	herdeiro
de	PRP	de
uma	DET	uma
das	PRP+DET	de
melhores	ADJ	melhor
fortunas	NOM	fortuna
do	PRP+DET	de
sertão	NOM	sertão
em	PRP	em
princípios	NOM	princípio
do	PRP+DET	de
século	NOM	século
passado	ADJ	passado
,	VIRG	,
tratavam-no	V+P	tratar
por	PRP	por
senhor	ADJ	senhor
Raimundo	NOM	Raimundo
e	CONJ	e
cortejavam-na	V+P	cortejar
com	PRP	com
o	DET	o
tratamento	NOM	tratamento
de	PRP	de
dona	NOM	dono
.	SENT	.
</s>
<s>
Era	V	ser
isso	P	isso
também	ADV	também
uma	DET	uma
espécie	NOM	espécie
de	PRP	de
caridade	NOM	caridade
que	PR	que
eles	P	ele
agradeciam	V	agradecer
com	PRP	com
um	DET	um
sorriso	NOM	sorriso
desconsolado	ADJ	desconsolado
,	VIRG	,
sem	PRP	sem
,	VIRG	,
contudo	CONJ	contudo
,	VIRG	,
esquecerem	V	esquecer
jamais	ADV	jamais
os	DET	o
modos	NOM	modo
altivos	ADJ	altivo
e	CONJ	e
os	DET	o
tiques	NOM	tique
de	PRP	de
ricaços	NOM	ricaço
de	PRP	de
outros	ADJ	outro
tempos	NOM	tempo
.	SENT	.
</s>
<s>
Teve	V	ter
esse	DET	esse
casal	NOM	casal
quatro	CARD	quatro
filhas	NOM	filho
e	CONJ	e
dous	V	<unknown>
filhos	NOM	filho
.	SENT	.
</s>
<s>
Como	CONJ	como
os	DET	o
pais	NOM	pai
,	VIRG	,
viviam	V	viver
quatro	CARD	quatro
restantes	NOM	restante
,	VIRG	,
em	PRP	em
ociosidade	NOM	ociosidade
,	VIRG	,
cobertos	V	cobrir
de	PRP	de
andrajos	NOM	andrajos
,	VIRG	,
morrendo	V	morrer
à	PRP+DET	a
fome	NOM	fome
.	SENT	.
</s>
<s>
A	DET	a
seca	NOM	seca
de	PRP	de
59	CARD	@card@
,	VIRG	,
foi-lhes	V+P	ir
ainda	ADV	ainda
um	DET	um
bom	ADJ	bom
pretexto	NOM	pretexto
para	PRP	para
a	DET	a
incurável	ADJ	incurável
preguiça	NOM	preguiça
,	VIRG	,
porque	CONJ	porque
ninguém	P	ninguém
realmente	ADV	realmente
podia	V	poder
cuidar	V	cuidar
de	PRP	de
roças	NOM	roça
.	SENT	.
</s>
<s>
Apenas	ADV	apenas
duas	CARD	dois
moças	NOM	moço
faziam	V	fazer
rendas	NOM	renda
,	VIRG	,
cujo	PR	cujo
produto	NOM	produto
insignificante	ADJ	insignificante
supria-lhes	V	<unknown>
algumas	ADJ	alguma
precisões	NOM	precisão
,	VIRG	,
de	PRP	de
longe	ADV	longe
em	PRP	em
longe	ADV	longe
.	SENT	.
</s>
<s>
Uma	DET	uma
tarde	NOM	tarde
,	VIRG	,
a	DET	a
velha	ADJ	velho
assistia	V	assistir
,	VIRG	,
no	PRP+DET	em
peitoril	NOM	peitoril
,	VIRG	,
