<text id="melo1650">
<s>
Pinto	V	pintar
para	PRP	para
os	DET	o
tempos	NOM	tempo
a	PRP	a
imagem	NOM	imagem
de	PRP	de
um	DET	um
Rei	NOM	rei
cuja	PR	cuja
história	NOM	história
se	P	se
não	ADV	não
compreendera	V	compreender
outra	P	outra
maravilha	V	maravilhar
para	PRP	para
a	DET	a
sua	ADJ	sua
felicidade	NOM	felicidade
por	PRP	por
ela	P	ela
não	ADV	não
somente	ADV	somente
não	ADV	não
receara	V	recear
competição	NOM	competição
com	PRP	com
os	DET	o
grandes	ADJ	grande
do	PRP+DET	de
mundo	NOM	mundo
.	SENT	.
</s>
<s>
Aqueles	P	aquele
que	PR	que
para	PRP	para
entenderem	V	entender
ou	CONJ	ou
julgarem	V	julgar
acções	NOM	acção
necessitam	V	necessitar
de	PRP	de
longos	ADJ	longo
triunfos	NOM	triunfo
apartem-se	V	<unknown>
da	PRP+DET	de
observação	NOM	observação
destas	PRP+P	de
memórias	NOM	memória
desenganados	V	desenganar
tão	ADV	tão
cedo	ADV	cedo
da	PRP+DET	de
sua	ADJ	sua
profunda	ADJ	profundo
brevidade	NOM	brevidade
;	SENT	;
porque	CONJ	porque
os	DET	o
espíritos	NOM	espírito
que	PR	que
espiritualmente	ADV	espiritualmente
se	P	se
alimentam	V	alimentar
tiraram	V	tirar
do	PRP+DET	de
costume	NOM	costume
as	P	a
proluxas	V	<unknown>
crónicas	ADJ	crónico
pasto	NOM	pasto
da	PRP+DET	de
vulgaridade	NOM	vulgaridade
,	VIRG	,
depois	ADV	depois
que	PR	que
passado	V	passar
o	DET	o
tempo	NOM	tempo
da	PRP+DET	de
contemporização	NOM	contemporização
cada	ADJ	cada
pena	NOM	pena
se	P	se
fez	V	fazer
atrevida	ADJ	atrevido
.	SENT	.
</s>
<s>
Nem	CONJ	nem
sangue	NOM	sangue
,	VIRG	,
nem	CONJ	nem
Pátria	NOM	pátria
,	VIRG	,
nem	CONJ	nem
respeitos	NOM	respeito
se	P	se
entrepõem	V	entrepor
entre	PRP	entre
mim	P	mim
e	CONJ	e
a	DET	a
verdade	NOM	verdade
.	SENT	.
</s>
<s>
Afirmá-lo-á	V+P	afirmar
o	DET	o
estilo	NOM	estilo
,	VIRG	,
sendo	V	ser
