<text id="vicente16th>
<s>
Prólogo	NOM	prólogo
dirigido	ADJ	dirigido
ao	PRP+DET	a
muito	ADV	muito
alto	ADJ	alto
e	CONJ	e
poderoso	ADJ	poderoso
Rei	V	<unknown>
nosso	ADJ	nosso
Senhor	NOM	senhor
,	VIRG	,
dom	NOM	dom
Sebastião	NOM	sebastião
,	VIRG	,
o	DET	o
primeiro	CARD	primeiro
do	PRP+DET	de
nome	NOM	nome
,	VIRG	,
por	PRP	por
Luís	NOM	Luís
Vicente	NOM	vicente
.	SENT	.
</s>
<s>
É	V	ser
tão	ADV	tão
gloriosa	ADJ	glorioso
cousa	NOM	coisa
,	VIRG	,
altíssimo	ADJ	alto
rei	NOM	rei
e	CONJ	e
senhor	NOM	senhor
nosso	ADJ	nosso
,	VIRG	,
a	DET	a
fama	NOM	fama
daqueles	PRP+P	aquele
que	PR	que
a	P	a
têm	V	ter
e	CONJ	e
a	P	a
tiveram	V	ter
,	VIRG	,
que	PR	que
a	DET	a
toda	ADJ	todo
pessoa	NOM	pessoa
geralmente	ADV	geralmente
faz	V	fazer
desejo	NOM	desejo
de	PRP	de
a	DET	a
acrescentar	V	acrescentar
e	CONJ	e
ressuscitar	V	ressuscitar
suas	ADJ	sua
obras	NOM	obra
:	SENT	:
e	CONJ	e
assim	ADV	assim
o	P	o
fazem	V	fazer
muitos	P	muito
,	VIRG	,
uns	DET	um
com	PRP	com
contarem	V	contar
em	PRP	em
prática	NOM	prática
suas	ADJ	sua
cousas	NOM	coisa
,	VIRG	,
outros	ADJ	outro
com	PRP	com
escreverem	V	escrever
suas	ADJ	sua
obras	NOM	obra
,	VIRG	,
outros	P	outro
trabalharem	V	trabalhar
que	CONJSUB	que
venham	V	vir
à	PRP+DET	a
notícia	NOM	notícia
de	PRP	de
todos	ADJ	todo
com	PRP	com
as	P	a
imprimirem	V	imprimir
,	VIRG	,
como	CONJ	como
foi	V	ir
aquele	P	aquele
que	PR	que
apurou	V	apurar
e	CONJ	e
alimpou	V	alimpar
e	CONJ	e
fez	V	fazer
que	CONJSUB	que
fossem	V	ir
vistas	V	ver
e	CONJ	e
achadas	V	achar
as	DET	a
cousas	NOM	coisa
de	PRP	de
Homero	NOM	homero
,	VIRG	,
porque	CONJ	porque
,	VIRG	,
se	P	se
ele	P	ele
não	ADV	não
fora	V	ir
,	VIRG	,
