<text id="almeida1852">
<s>
MEMÓRIAS	NOM	memória
DE	NOM	<unknown>
UM	NOM	um
SARGENTO	NOM	sargento
DE	NOM	<unknown>
MILÍCIA	NOM	milícia
ORIGEM	V	<unknown>
,	VIRG	,
NASCIMENTO	NOM	nascimento
E	NOM	e
BATIZADO	NOM	batizado
Era	NOM	era
no	PRP+DET	em
tempo	NOM	tempo
do	PRP+DET	de
rei	NOM	rei
.	SENT	.
</s>
<s>
Uma	DET	uma
das	PRP+DET	de
quatro	CARD	quatro
esquinas	NOM	esquina
que	PR	que
formam	V	formar
as	DET	a
ruas	NOM	rua
do	PRP+DET	de
Ouvidor	NOM	ouvidor
e	CONJ	e
da	PRP+DET	de
Quitanda	NOM	quitanda
,	VIRG	,
cortando-se	V	<unknown>
mutuamente	ADV	mutuamente
,	VIRG	,
chamava-se	V+P	chamar
nesse	PRP+P	em
tempo	NOM	tempo
-	QUOTE	-
O	V	<unknown>
canto	NOM	canto
dos	PRP+DET	de
meirinhos	ADJ	meirinho
-	QUOTE	-
;	SENT	;
e	CONJ	e
bem	ADV	bem
lhe	P	lhe
assentava	V	assentar
o	DET	o
nome	NOM	nome
,	VIRG	,
porque	CONJ	porque
era	V	ser
aí	ADV	aí
o	DET	o
lugar	NOM	lugar
de	PRP	de
encontro	NOM	encontro
favorito	ADJ	favorito
de	PRP	de
todos	ADJ	todo
os	DET	o
indivíduos	NOM	indivíduo
dessa	PRP+P	de
classe	V	classar
(	QUOTE	(
que	PR	que
gozava	V	gozar
então	ADV	então
de	PRP	de
não	ADV	não
pequena	ADJ	pequeno
consideração	NOM	consideração
)	QUOTE	)
.	SENT	.
</s>
<s>
Os	DET	o
meirinhos	NOM	meirinho
de	PRP	de
hoje	ADV	hoje
não	ADV	não
são	V	ser
mais	ADV	mais
do	PRP+DET	de
que	PR	que
a	DET	a
sombra	NOM	sombra
caricata	ADJ	caricato
dos	PRP+DET	de
meirinhos	NOM	meirinho
do	PRP+DET	de
tempo	NOM	tempo
do	PRP+DET	de
rei	NOM	rei
;	SENT	;
esses	P	esse
eram	V	ser
gente	NOM	gente
temível	ADJ	temível
e	CONJ	e
temida	ADJ	temido
,	VIRG	,
respeitável	ADJ	respeitável
e	CONJ	e
respeitada	ADJ	respeitado
;	SENT	;
formavam	V	formar
um	DET	um
dos	PRP+DET	de
extremos	NOM	extremo
da	PRP+DET	de
formidável	ADJ	formidável
cadeia	NOM	cadeia
judiciária	ADJ	judiciário
que	PR	que
envolvia	V	envolver
todo	ADJ	todo
o	DET	o
Rio	NOM	Rio
de	PRP	de
Janeiro	NOM	janeiro
no	PRP+DET	em
tempo	NOM	tempo
em	PRP	em
que	PR	que
a	DET	a
demanda	NOM	demanda
era	V	ser
entre	PRP	entre
nós	P	nós
um	DET	um
elemento	NOM	elemento
de	PRP	de
vida	NOM	vida
:	SENT	:
o	DET	o
extremo	ADJ	extremo
oposto	NOM	oposto
eram	V	ser
os	DET	o
desembargadores	NOM	desembargador
.	SENT	.
</s>
<s>
Ora	CONJ	ora
,	VIRG	,
os	DET	o
extremos	NOM	extremo
se	P	se
tocam	V	tocar
,	VIRG	,
e	CONJ	e
estes	P	este
,	VIRG	,
tocando-se	V+P	tocar
,	VIRG	,
fechavam	V	fechar
o	DET	o
círculo	NOM	círculo
dentro	ADV	dentro
do	PRP+DET	de
qual	PR	qual
se	P	se
passavam	V	passar
os	DET	o
terríveis	ADJ	terrível
combates	NOM	combate
das	PRP+DET	de
citações	NOM	citação
,	VIRG	,
provarás	V	provar
,	VIRG	,
razões	NOM	razão
principais	ADJ	principal
e	CONJ	e
finais	ADJ	final
,	VIRG	,
e	CONJ	e
todos	ADJ	todo
esses	DET	esse
trejeitos	NOM	trejeito
judiciais	ADJ	judicial
que	PR	que
se	P	se
chamava	V	chamar
o	DET	o
processo	NOM	processo
.	SENT	.
</s>
<s>
Daí	PRP+ADV	aí
sua	ADJ	sua
influência	NOM	influência
moral	ADJ	moral
.	SENT	.
</s>
<s>
Mas	CONJ	mas
tinham	V	ter
ainda	ADV	ainda
outra	ADJ	outro
influência	NOM	influência
,	VIRG	,
que	PR	que
é	V	ser
justamente	ADV	justamente
a	DET	a
que	PR	que
falta	V	faltar
aos	PRP+DET	a
de	PRP	de
hoje	ADV	hoje
:	SENT	:
era	V	ser
a	DET	a
influência	NOM	influência
que	PR	que
derivava	V	derivar
de	PRP	de
suas	ADJ	sua
condições	NOM	condição
físicas	ADJ	físico
.	SENT	.
</s>
<s>
Os	DET	o
meirinhos	NOM	meirinho
de	PRP	de
hoje	ADV	hoje
são	V	ser
homens	NOM	homem
como	CONJ	como
quaisquer	ADJ	qualquer
outros	ADJ	outro
;	SENT	;
nada	P	nada
têm	V	ter
de	PRP	de
imponentes	ADJ	imponente
,	VIRG	,
nem	CONJ	nem
no	PRP+DET	em
seu	ADJ	seu
semblante	NOM	semblante
nem	CONJ	nem
no	PRP+DET	em
seu	ADJ	seu
trajar	V	trajar
,	VIRG	,
confundem-se	V+P	confundir
com	PRP	com
